date,Obs,HHMMSS,co2,species,tray,plant,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
18-Apr,11,16:47:31,elevated,M82,4,2,3544.000019,0,9.169982989,0.17839076,662.9960832,11,11,0,0,451.5900879,1590.0177,722.5467529,#DIV/0!,0.715984239,0.545573139,-1,0.87,0.92,10.44290352,0.875221452,0.051045482,0.761990431,3.520931355,-1,227.6381073,0.5,54.34829245,2.028986568,1.144785078,21.57881737,2,4.644859791,1,9.289719582,21.87801743,21.57881737,21.55816841,765.1117554,759.7532349,13.30286789,14.30336666,50.89563751,54.72346115,399.7936401,227.6381073,0.525874436,100.7681122,0.214839876,0.082194999,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.998968201,0.002028987,294.7288174,295.0280174,36.42209635,-0.199178144,2.586108335,25.66395538,11.36058872,21.7284174,2.609873971,0.175029661,1.441323256,1.168550715,0.109690627,66.80886369,0.872646608,55.68168666,758.4206352,0.006732413,0,199.2337547,1138.427612,0.545573139,#DIV/0!
18-Apr,12,16:54:35,elevated,M82,8,2,3987.000016,0,11.77005139,0.204618218,651.8403976,12,12,0,0,466.470459,1796.524292,666.7319336,#DIV/0!,0.740348371,0.62887675,-1,0.87,0.92,10.44290352,0.875221452,0.063742138,0.849433557,3.851314177,-1,228.9011993,0.5,62.99434509,2.264207812,1.11684671,21.45460701,2,4.644859791,1,9.289719582,21.855793,21.45460701,21.55737305,765.0808716,758.3302612,13.26994896,14.38693619,50.83613968,55.11523438,399.580719,228.9011993,0.43461135,100.7631912,0.19298929,0.08086367,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997903595,0.002264208,294.604607,295.005793,36.62419108,-0.235413893,2.566520312,25.47081212,11.08387593,21.6552,2.59821879,0.200208367,1.449673602,1.148545187,0.125519093,65.68151863,0.859573237,56.55606112,756.6198146,0.008797916,0,200.33924,1330.053833,0.62887675,#DIV/0!
18-Apr,13,16:59:24,elevated,penn,6,2,4264.500019,0,11.31812207,0.313513825,687.2223721,13,13,0,0,433.5500488,1759.068848,588.444397,#DIV/0!,0.753534349,0.66547961,-1,0.87,0.92,10.44290352,0.875221452,0.061769771,0.88314436,4.057360511,-1,227.8507996,0.5,66.35494116,2.976909074,0.969722988,20.71528053,2,4.644859791,1,9.289719582,21.82579613,20.71528053,21.55895424,764.7438354,757.947998,13.2484169,14.71682549,50.84519958,56.48070526,399.4934998,227.8507996,0.19339557,100.7602234,0.165035188,0.072252944,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997467499,0.002976909,293.8652805,294.9757961,36.45612711,-0.330871421,2.452593611,24.34089096,9.624065479,21.27053833,2.537731505,0.303278635,1.482870623,1.054860882,0.190442888,69.24467973,0.906688023,60.99031866,756.3032267,0.009127237,0,199.4199076,1325.518799,0.66547961,#DIV/0!
18-Apr,14,17:03:33,elevated,penn,1,1,4496.500019,0,11.81529611,0.300028475,680.7843995,14,14,0,0,351.486084,1501.694824,468.0570679,#DIV/0!,0.765940404,0.688314123,-1,0.87,0.92,10.27517986,0.87513759,0.06314527,0.898652323,4.272416157,-1,231.9057312,0.5,69.84647697,3.0428364,1.033926395,21.13638115,2,4.644859791,1,9.289719582,21.81734848,21.13638115,21.55892372,764.5968628,757.5281982,13.21773338,14.71856308,50.75209427,56.51482773,399.519043,231.9057312,0.264021397,100.7571945,0.168147981,0.076717094,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997595215,0.003042836,294.2863811,294.9673485,37.10491616,-0.358707015,2.516927518,24.98012703,10.26156395,21.47686481,2.570020793,0.290641671,1.483001123,1.08701967,0.182471695,68.59392617,0.898691826,59.40042511,755.8111766,0.009285833,0,202.9494227,1150.20874,0.688314123,#DIV/0!
18-Apr,15,17:07:56,elevated,penn,4,2,4782.500019,0,10.94885766,0.520098834,712.7106519,15,15,0,0,447.7722168,1793.858521,719.8902588,#DIV/0!,0.750385991,0.59869173,-1,0.87,0.92,10.44290352,0.875221452,0.059914355,0.797845026,4.006185407,-1,227.8649597,0.5,59.69923465,4.131956298,0.828934479,20.09357452,2,4.644859791,1,9.289719582,21.83885002,20.09357452,21.55916977,764.8488159,757.8018188,13.16195869,15.19855022,50.46990204,58.27927017,399.6045837,227.8649597,0.346588343,100.7537537,0.15392679,0.067145064,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.998022919,0.004131956,293.2435745,294.98885,36.45839274,-0.507291876,2.360245464,23.4258812,8.22733098,20.96621227,2.490754102,0.492524134,1.531310985,0.959443117,0.310191668,71.80827345,0.940497415,66.08639926,756.2107097,0.009568373,0,199.4323008,1346.086304,0.59869173,#DIV/0!
18-Apr,16,17:12:49,elevated,penn,8,3,5076.500018,0,9.232960688,0.275779301,691.7025167,16,16,0,0,472.3041992,1825.71228,879.1164551,#DIV/0!,0.741304145,0.518480286,-1,0.87,0.92,10.44290352,0.875221452,0.05124644,0.699416413,3.865543189,-1,228.1495667,0.5,51.76543338,2.811611654,1.036834519,21.01679802,2,4.644859791,1,9.289719582,21.84827423,21.01679802,21.55722427,764.4523315,758.7622681,13.12130165,14.50839615,50.28160477,55.59703064,399.5141907,228.1495667,0.43133235,100.7468414,0.191707551,0.083496764,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997570953,0.002811612,294.166798,294.9982742,36.50392985,-0.313672377,2.498509605,24.79988027,10.29148412,21.43253613,2.56305335,0.267828412,1.461675086,1.101378264,0.168089388,69.68684377,0.911619549,58.89032119,757.4205164,0.007178734,0,199.6813949,1353.408081,0.518480286,#DIV/0!
18-Apr,17,17:21:33,ambient,M82,7,1,5586.500019,0,8.925299474,0.169511386,351.9566437,17,17,0,0,433.0974121,1496.71814,585.9712524,#DIV/0!,0.710635289,0.608495924,-1,0.87,0.92,10.44290352,0.875221452,0.049839836,0.856270345,3.455846417,-1,227.5354462,0.5,60.58912678,1.933210583,1.146667747,21.41569519,2,4.644859791,1,9.289719582,21.86030006,21.41569519,21.55645561,449.7990112,444.9017334,13.08110237,14.03503418,50.08218002,53.73439026,399.6256104,227.5354462,0.487825096,100.7295685,0.660335481,0.083183005,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.998128052,0.001933211,294.5656952,295.0103001,36.40567057,-0.175932923,2.560410684,25.41866031,11.38362613,21.63799763,2.595487032,0.166473706,1.413742937,1.181744096,0.104314784,35.45244084,0.791088497,55.13293791,443.6046916,0.011092714,0,199.1439035,1063.620728,0.608495924,#DIV/0!
18-Apr,18,17:26:48,ambient,M82,3,2,5914.000018,0,10.52296302,0.548054125,405.3264005,18,18,0,0,447.8051758,1785.470581,630.5785522,#DIV/0!,0.749194873,0.646827812,-1,0.87,0.92,10.27517986,0.87513759,0.056797022,0.863363906,3.987159322,-1,231.8260651,0.5,65.61411744,4.475467714,0.854051096,20.29762077,2,4.644859791,1,9.289719582,21.85089302,20.29762077,21.55685997,449.686615,443.4241028,13.04484844,15.25154209,49.9681778,58.42090225,399.4401245,231.8260651,0.289005995,100.7217255,0.553066194,0.062593177,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997200623,0.004475468,293.4476208,295.000893,37.09216958,-0.573748497,2.390212732,23.73085569,8.479313599,21.0742569,2.507344502,0.51752249,1.536161635,0.971182867,0.326062729,40.82517444,0.914082924,65.58866045,441.8948855,0.015618806,0,202.8797039,1337.665405,0.646827812,#DIV/0!
18-Apr,19,17:33:06,ambient,M82,2,4,6280.500019,0,7.817359531,0.113713634,326.5196457,19,19,0,0,413.2880859,1335.180176,534.8041992,#DIV/0!,0.690462686,0.599451663,-1,0.87,0.92,10.27517986,0.87513759,0.043405364,0.868188355,3.230628274,-1,232.1233368,0.5,60.88626269,1.412001656,1.240774147,21.7994976,2,4.644859791,1,9.289719582,21.8596859,21.7994976,21.5556221,449.6430359,445.4147034,13.00919342,13.70637321,49.80229568,52.47127151,399.5090637,232.1233368,0.752971888,100.7165451,0.497737825,0.095466331,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997545319,0.001412002,294.9494976,295.0096859,37.13973306,-0.097932552,2.621232703,26.02584015,12.31946693,21.82959175,2.626054821,0.11233852,1.380458556,1.245596264,0.070333839,32.88593063,0.733068853,52.28906684,444.2786696,0.009200587,0,203.1398575,921.8920898,0.599451663,#DIV/0!
18-Apr,20,17:37:41,ambient,M82,8,3,6573.500018,0,8.943790657,0.187549579,359.3957727,20,20,0,0,454.7575684,1584.265869,607.3175049,#DIV/0!,0.712953755,0.616656827,-1,0.87,0.92,10.27517986,0.87513759,0.048999209,0.864932434,3.483759215,-1,231.8924255,0.5,62.57148327,2.187282562,1.174429143,21.60234642,2,4.644859791,1,9.289719582,21.85744095,21.60234642,21.55720901,449.6105042,444.6462708,12.97442436,14.0540123,49.67364502,53.80693436,399.512146,231.8924255,0.391146123,100.7117691,0.585475862,0.084074691,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.99756073,0.002187283,294.7523464,295.0074409,37.10278726,-0.226349656,2.589833584,25.71530227,11.66128997,21.72989368,2.610109446,0.183838083,1.415404442,1.194705004,0.11522659,36.19538407,0.808273444,54.64792492,443.3465418,0.011024324,0,202.9377784,1129.508301,0.616656827,#DIV/0!
